,cell_penalty,packing_fraction
65541,0.0,0.0436528144062567
57224,0.0,0.0436730545883148
35101,0.0,0.0436977933770187
14663,0.0,0.0436986702907749
60108,0.0,0.0437024646713864
33648,0.0023901576605293,0.043754470331188
10069,0.0,0.0437569815772023
30532,0.0,0.0437629738190431
17059,0.0,0.0437855369129594
5757,0.0,0.0437950491444091
71806,0.0,0.0437981734729148
85172,0.0017574852483553,0.0438025556783003
10304,0.0,0.0438339589361236
20642,0.0,0.0438365367884529
294,0.0,0.0438371298006869
28996,0.0,0.0438418590733453
84738,0.0,0.0438683940552983
30006,0.0,0.0438831721022586
20188,0.0017826932081593,0.0439170024858351
86488,0.0,0.0439408312138054
4368,0.0,0.0439477506838127
87153,0.0,0.0439543231469533
15564,0.0,0.0439689545428465
66549,0.0,0.0439721428554041
50144,0.0,0.0439811667398022
92591,0.0,0.0439845054180955
32865,0.0,0.0439898420674663
10106,0.0,0.0439973027369101
31483,0.0,0.0440041608195064
74120,0.0011466491021307,0.0440169503371075
90685,0.0,0.0440246927242517
87058,0.0023771639794337,0.0440398993342955
39834,0.0,0.044051808759929
93596,0.0,0.0440702291255472
55245,0.0,0.0440838203111199
47959,0.0,0.044096929588484
32335,0.0,0.0440998131271705
17821,0.0,0.044106872569466
26722,0.0,0.0441106421957507
58611,0.0,0.0441114319793564
61014,0.0,0.044113332752659
76955,0.0,0.044114619226358
15556,0.0,0.0441177201497614
61514,0.0,0.0441282417196845
67791,0.00019287069324,0.0441442871213539
71150,0.0043851828264089,0.0441668165056884
17192,0.0,0.0441693910464498
35233,3.844440055840883e-06,0.0441698477167544
92164,0.0,0.0441714474483117
15348,0.0,0.0441768107263602
64209,0.0,0.044182829305126
93841,0.0,0.0441875111867298
27202,0.0,0.044197526669888
40946,0.0,0.0441976621385372
29654,0.0030312041491203,0.044204917360213
28577,0.0,0.0442106486958066
18958,0.0,0.0442275089894761
42687,0.0001368153437851,0.0442286072962131
44648,0.0,0.0442385435224382
36840,0.0,0.0442403451306149
10143,0.0,0.0442505687602735
80638,0.0,0.0442531229066826
53966,0.0,0.0442724106695738
72762,0.0,0.0442726296000593
84570,0.0,0.0442819379186885
11825,0.0,0.0442899447195029
1671,0.0,0.0443092019198741
37042,0.0,0.0443146161867695
36243,0.0,0.0443227747956056
62215,0.0,0.0443322564566618
98437,0.0,0.0443507870480733
86918,0.0,0.0443529636678461
98957,0.0,0.0443552586896636
21392,0.0,0.0443636743405528
95643,0.0,0.0443859726395757
79420,0.0,0.0443891685127129
67569,0.0,0.0443972185019605
48433,0.0,0.044404517884337
26554,0.0,0.0444069831247081
10038,0.0,0.0444092902859161
67242,0.0,0.0444099302832202
36710,0.0007327902064863,0.0444170653089469
24804,0.0,0.0444250970413017
78981,0.0,0.0444324738269882
18537,0.0,0.0444505243362385
10043,0.0,0.0444507127831177
