,cell_penalty,packing_fraction
85692,0.0,0.1308996938995747
53532,0.0,0.1308996938995749
28959,0.0,0.1308996938995792
68652,0.0024786088705949,0.1308996938995792
23036,0.000642152266423,0.1308996938995792
35881,0.0015202880619987,0.1308996938995792
63096,0.0022273479797513,0.1308996938995792
51370,0.0,0.1308996938995792
28084,0.0,0.1308996938995792
31059,0.0002161165569084,0.1308996938995792
88882,0.0,0.1308996938995792
31081,0.0,0.1308996938995792
84627,0.0,0.1308996938995792
52156,0.0,0.1308996938995792
44881,0.0,0.1308996938995792
64770,0.0,0.1308996938995792
50677,0.0060096500406111,0.1308996938995792
91153,0.0069216390730286,0.1310307061350741
20213,0.0025673765578217,0.1310532535832587
14615,0.005813638206466,0.1311573850972702
38312,0.0,0.1311896888244227
14543,0.0,0.1312901630492682
61185,0.0,0.1313400463352176
50601,0.0,0.1313674728926593
31058,0.0073491037185633,0.1313923785261452
22636,0.0,0.1315693083970826
95279,0.0,0.1315845640712901
4408,0.0088798102520539,0.1315940782943102
31057,1.352283169529351e-05,0.1316049596569983
88868,0.0,0.1316190134392289
93757,0.0058988732716445,0.1316736220975542
18930,0.0094566903129834,0.1316794337526255
22466,0.0,0.1317513297572482
41963,0.0,0.1317578030203053
72391,0.0,0.131813797622866
61978,0.0,0.1318233109570233
77893,0.0,0.1318258773848787
67773,0.0,0.1318676499559213
69047,3.4265828977503184e-05,0.1319328412755672
7336,0.0,0.1320444494767158
29481,0.0,0.1320596636878949
19012,0.0,0.1321775062594948
83691,0.0,0.1322040359344121
70959,0.0,0.1322253428838379
10533,0.0032262417798267,0.1322672123735448
23487,0.0,0.1322856004338789
36161,0.0,0.1322960151669104
47987,0.0080461963931507,0.1323367673274175
2989,0.0,0.1323651236799972
86004,0.0,0.132404071100504
57367,0.0,0.1324850881151948
18558,0.0,0.1325842916822877
48263,0.0,0.1326167984774261
91386,0.0,0.1326205445508111
63527,0.0,0.1326381346601489
25062,0.0,0.1326841569739639
2917,0.0034832865410712,0.1326985180377007
99496,0.0,0.1327212351859226
15433,0.0,0.1327338457164121
5183,0.0,0.1328289065983693
7659,0.0022205709521884,0.1329757422383852
46123,0.0,0.1329804377947646
69536,0.0,0.132986694381743
13173,0.0043962241741407,0.1330243948835316
53782,0.0006215290990199,0.1330455465693404
69749,0.0016549176578965,0.133047555051499
20526,0.0,0.1330741643406618
22316,0.0,0.1330834024282042
99497,0.0,0.1330916510452509
59918,0.0,0.1331447132633615
39390,0.0,0.1331465393117165
97355,0.0,0.1331671011044273
63221,0.0,0.1332075361614282
5744,0.0,0.1332503619508131
44620,0.0094487125777948,0.1332559715089734
98128,0.0,0.133324529505096
3849,0.002394530405287,0.1333334987813386
80339,0.0,0.1333599634491304
98331,0.0003043392444367,0.1333774208013175
54465,0.0,0.1333828699852269
14542,0.0,0.1334050330398974
83784,0.0,0.1334776519368702
30270,0.0,0.1334895666134233
19102,0.0,0.1335358611752911
21039,0.0023578464071056,0.1335744607704715
96847,0.0011472988982935,0.1336033724271603
67822,0.0007331878436926,0.1336081147794274
1062,0.0,0.1336219570897646
85523,0.0,0.1336426087281497
89358,0.0050987618432745,0.1336603319024238
97395,0.0005436288743002,0.133668350949611
26133,0.0019845318090518,0.1337023945668469
85469,0.009967606520841,0.1337406827335475
97632,0.0,0.133792117748284
57660,0.0,0.1338353269082813
93943,0.0,0.1339485341821208
5975,0.0,0.1339748694308317
94316,0.0003496775554847,0.1339820417286168
68363,0.0,0.1339890440110683
30692,0.0009364274216087,0.1340043361081872
25219,0.0,0.1340207080193047
20267,0.0,0.1340373886409812
13211,0.0,0.134062390203242
43952,0.0,0.1341072454896297
15148,0.0093368196942268,0.1341096997938087
22087,0.0,0.13411750530878
37699,0.0,0.1342154703859871
75012,0.0,0.1342177280545594
3157,0.0058054365383559,0.1342189826603706
90707,0.0,0.1342404640500339
17729,0.0,0.1342703760375425
80335,0.0,0.1342840698621392
2991,0.0,0.1342979149174412
73618,0.0010835765922565,0.1343016784204465
80353,0.0,0.1343082734718832
28633,0.0016820929357074,0.1343702141337087
65446,0.0033604751215183,0.134387374999561
29914,0.0012860593820952,0.1344057356802984
77402,0.0,0.1344230661138116
56899,0.0,0.1344471198988049
62973,0.0,0.1344748222291387
30301,0.0,0.1344840394637786
93268,0.0041565126508366,0.134484400598008
32933,0.0,0.1344893782962773
57603,0.0,0.1345323077505683
20655,0.0,0.1346065643514526
74521,0.0,0.1346111149520918
28958,0.0,0.1346136140528135
86606,0.0,0.1346787187921025
89658,0.0,0.1347331468047376
32590,0.003206119613734,0.1347331675652887
79002,0.0,0.1347544787530851
50971,0.0015986771145006,0.1347978816099093
52467,0.0,0.1348761609633085
14454,0.0,0.1348856151450495
11978,0.0013300179915768,0.1348884165951129
96357,0.0,0.1348948190299265
41216,0.0,0.1349507187713985
14138,0.0,0.1349623765117188
86002,0.0,0.1349884061217963
25911,0.0,0.1350144064581153
89523,0.0,0.1350147484558222
20233,0.0,0.1350873949595252
22207,0.0086855099811917,0.1350881765156113
82513,0.0,0.1351009011234257
25570,0.0,0.1351109048030041
86124,0.0,0.1351393821727854
589,0.0,0.1351693545926176
0,2.999314900059055e-31,0.1351712560948935
95022,0.0,0.1351808810689741
19278,0.0,0.1351834145110615
36130,0.0,0.1352425517959714
25831,0.0,0.1352664249726258
31566,0.0001135162438788,0.1352931521856462
40352,0.0,0.1352985736721199
84466,0.0,0.1353023088688462
13116,0.0,0.1353355789183367
6294,0.0,0.1353706212263781
